area_code,date_code,years_of_quality_life,sex,age,simd_quintiles,urban_rural_classification
S12000010,2016-2018,46.18,Male,20-24 years,All,All
S12000010,2016-2018,55.89,Male,10-14 years,All,All
S12000042,2016-2018,6.13,Male,70-74 years,All,All
S12000042,2016-2018,4.32,Male,75-79 years,All,All
S12000010,2016-2018,41.53,Male,25-29 years,All,All
S12000027,2016-2018,3.02,Male,85-89 years,All,All
S12000027,2016-2018,12.03,Male,65-69 years,All,All
S12000027,2016-2018,9.29,Male,70-74 years,All,All
S12000028,2016-2018,60.98,Male,1-4 years,All,All
S12000026,2016-2018,19.6,Male,50-54 years,All,All
S12000026,2016-2018,15.97,Male,55-59 years,All,All
S12000026,2016-2018,23.51,Male,45-49 years,All,All
S12000027,2016-2018,4.8,Male,80-84 years,All,All
S12000028,2016-2018,26.63,Male,40-44 years,All,All
S12000029,2016-2018,58.48,Male,1-4 years,All,All
S12000028,2016-2018,19.16,Male,50-54 years,All,All
S12000028,2016-2018,30.72,Male,35-39 years,All,All
S12000027,2016-2018,6.65,Male,75-79 years,All,All
S12000028,2016-2018,4.97,Male,75-79 years,All,All
S12000029,2016-2018,36.7,Male,25-29 years,All,All
S12000028,2016-2018,9.56,Male,65-69 years,All,All
S12000028,2016-2018,7.07,Male,70-74 years,All,All
S12000028,2016-2018,1.18,Male,90 years,All,All
S12000029,2016-2018,59.27,Male,0 years,All,All
S12000029,2016-2018,32.41,Male,30-34 years,All,All
S12000028,2016-2018,2.05,Male,85-89 years,All,All
S12000026,2016-2018,6.75,Male,70-74 years,All,All
S12000028,2016-2018,3.28,Male,80-84 years,All,All
S12000026,2016-2018,31.56,Male,35-39 years,All,All
S12000026,2016-2018,27.59,Male,40-44 years,All,All
S12000026,2016-2018,4.43,Male,75-79 years,All,All
S12000005,2016-2018,57.68,Male,5-9 years,All,All
S12000005,2016-2018,27.18,Male,40-44 years,All,All
S12000045,2016-2018,16.82,Male,60-64 years,All,All
S12000005,2016-2018,31.1,Male,35-39 years,All,All
S12000005,2016-2018,61.67,Male,1-4 years,All,All
S12000036,2016-2018,8.75,Male,70-74 years,All,All
S12000005,2016-2018,43.39,Male,20-24 years,All,All
S12000036,2016-2018,14.65,Male,60-64 years,All,All
S12000036,2016-2018,11.56,Male,65-69 years,All,All
S12000036,2016-2018,4.28,Male,80-84 years,All,All
S12000045,2016-2018,13.3,Male,65-69 years,All,All
S12000036,2016-2018,2.82,Male,85-89 years,All,All
S12000045,2016-2018,20.43,Male,55-59 years,All,All
S12000027,2016-2018,1.85,Male,90 years,All,All
S12000029,2016-2018,28.29,Male,35-39 years,All,All
S12000028,2016-2018,57.34,Male,5-9 years,All,All
S12000029,2016-2018,24.31,Male,40-44 years,All,All
S12000029,2016-2018,41.11,Male,20-24 years,All,All
S12000029,2016-2018,54.82,Male,5-9 years,All,All
S12000005,2016-2018,39.08,Male,25-29 years,All,All
S12000005,2016-2018,35.04,Male,30-34 years,All,All
S12000036,2016-2018,6.29,Male,75-79 years,All,All
S12000028,2016-2018,61.68,Male,0 years,All,All
S12000029,2016-2018,50.22,Male,10-14 years,All,All
S12000029,2016-2018,45.62,Male,15-19 years,All,All
S12000023,2016-2018,4.99,Male,75-79 years,All,All
S12000048,2016-2018,61.93,Male,5-9 years,All,All
S12000050,2016-2018,2.78,Male,80-84 years,All,All
S12000050,2016-2018,8.01,Male,65-69 years,All,All
S12000023,2016-2018,7.41,Male,70-74 years,All,All
S12000023,2016-2018,20.94,Male,50-54 years,All,All
S12000023,2016-2018,0.55,Male,90 years,All,All
S12000023,2016-2018,38.09,Male,30-34 years,All,All
S12000023,2016-2018,33.79,Male,35-39 years,All,All
S12000023,2016-2018,10.35,Male,65-69 years,All,All
S12000050,2016-2018,5.92,Male,70-74 years,All,All
S12000023,2016-2018,3.01,Male,80-84 years,All,All
S12000023,2016-2018,1.69,Male,85-89 years,All,All
S12000018,2016-2018,31.71,Male,30-34 years,All,All
S12000018,2016-2018,54.68,Male,5-9 years,All,All
S12000018,2016-2018,20.58,Male,45-49 years,All,All
S12000018,2016-2018,23.85,Male,40-44 years,All,All
S12000018,2016-2018,11.6,Male,60-64 years,All,All
S12000018,2016-2018,9.14,Male,65-69 years,All,All
S12000018,2016-2018,49.75,Male,10-14 years,All,All
S12000018,2016-2018,44.97,Male,15-19 years,All,All
S12000018,2016-2018,40.35,Male,20-24 years,All,All
S12000023,2016-2018,16.97,Male,55-59 years,All,All
S12000018,2016-2018,5.28,Male,75-79 years,All,All
S12000018,2016-2018,3.74,Male,80-84 years,All,All
S12000018,2016-2018,35.91,Male,25-29 years,All,All
S12000013,2016-2018,65.07,Male,1-4 years,All,All
S12000020,2016-2018,2.87,Male,80-84 years,All,All
S12000013,2016-2018,66.07,Male,0 years,All,All
S12000013,2016-2018,56.24,Male,10-14 years,All,All
S12000048,2016-2018,6.09,Male,80-84 years,All,All
S12000048,2016-2018,17.07,Male,60-64 years,All,All
S12000013,2016-2018,61.23,Male,5-9 years,All,All
S12000038,2016-2018,60.17,Male,0 years,All,All
S12000048,2016-2018,35.37,Male,35-39 years,All,All
S12000048,2016-2018,13.81,Male,65-69 years,All,All
S12000048,2016-2018,39.36,Male,30-34 years,All,All
S12000048,2016-2018,43.52,Male,25-29 years,All,All
S12000048,2016-2018,52.36,Male,15-19 years,All,All
S12000048,2016-2018,65.84,Male,1-4 years,All,All
S12000023,2016-2018,25.25,Male,45-49 years,All,All
S92000003,2016-2018,47.94,Male,15-19 years,All,All
S12000023,2016-2018,29.44,Male,40-44 years,All,All
S12000048,2016-2018,66.64,Male,0 years,All,All
S12000023,2016-2018,13.45,Male,60-64 years,All,All
S12000048,2016-2018,57.09,Male,10-14 years,All,All
S12000048,2016-2018,10.92,Male,70-74 years,All,All
S92000003,2016-2018,61.13,Male,1-4 years,All,All
S12000048,2016-2018,8.33,Male,75-79 years,All,All
S92000003,2016-2018,61.88,Male,0 years,All,All
S92000003,2016-2018,52.63,Male,10-14 years,All,All
S92000003,2016-2018,57.35,Male,5-9 years,All,All
S12000010,2016-2018,2.46,Male,85-89 years,All,All
S12000011,2016-2018,68.77,Male,0 years,All,All
S12000010,2016-2018,5.66,Male,75-79 years,All,All
S12000011,2016-2018,58.89,Male,10-14 years,All,All
S12000047,2016-2018,10.36,Male,65-69 years,All,All
S12000011,2016-2018,36.26,Male,35-39 years,All,All
S12000047,2016-2018,7.97,Male,70-74 years,All,All
S12000011,2016-2018,27.42,Male,45-49 years,All,All
S12000010,2016-2018,1.52,Male,90 years,All,All
S12000011,2016-2018,23.32,Male,50-54 years,All,All
S12000011,2016-2018,15.6,Male,60-64 years,All,All
S12000010,2016-2018,3.87,Male,80-84 years,All,All
S12000011,2016-2018,19.43,Male,55-59 years,All,All
S12000011,2016-2018,4.02,Male,80-84 years,All,All
S12000014,2016-2018,22.15,Male,45-49 years,All,All
S12000011,2016-2018,6.26,Male,75-79 years,All,All
S12000014,2016-2018,29.96,Male,35-39 years,All,All
S12000014,2016-2018,62.1,Male,0 years,All,All
S12000014,2016-2018,61.33,Male,1-4 years,All,All
S12000014,2016-2018,34.14,Male,30-34 years,All,All
S12000047,2016-2018,4.01,Male,80-84 years,All,All
S12000011,2016-2018,49.17,Male,20-24 years,All,All
S12000047,2016-2018,5.79,Male,75-79 years,All,All
S12000011,2016-2018,40.46,Male,30-34 years,All,All
S12000011,2016-2018,31.68,Male,40-44 years,All,All
S12000011,2016-2018,44.7,Male,25-29 years,All,All
S12000019,2016-2018,56.69,Male,5-9 years,All,All
S12000019,2016-2018,61.02,Male,0 years,All,All
S12000018,2016-2018,14.34,Male,55-59 years,All,All
S12000019,2016-2018,47.71,Male,15-19 years,All,All
S12000019,2016-2018,52.21,Male,10-14 years,All,All
S12000019,2016-2018,30.64,Male,35-39 years,All,All
S12000019,2016-2018,7.09,Male,70-74 years,All,All
S12000011,2016-2018,2.57,Male,85-89 years,All,All
S12000011,2016-2018,2.04,Male,90 years,All,All
S12000018,2016-2018,7.13,Male,70-74 years,All,All
S12000018,2016-2018,1.9,Male,90 years,All,All
S12000018,2016-2018,17.41,Male,50-54 years,All,All
S12000018,2016-2018,2.7,Male,85-89 years,All,All
S12000019,2016-2018,15.37,Male,55-59 years,All,All
S12000019,2016-2018,3.28,Male,80-84 years,All,All
S12000018,2016-2018,27.73,Male,35-39 years,All,All
S12000019,2016-2018,22.76,Male,45-49 years,All,All
S12000019,2016-2018,4.98,Male,75-79 years,All,All
S12000019,2016-2018,9.62,Male,65-69 years,All,All
S12000019,2016-2018,60.26,Male,1-4 years,All,All
S12000019,2016-2018,34.85,Male,30-34 years,All,All
S12000019,2016-2018,43.34,Male,20-24 years,All,All
S12000019,2016-2018,18.89,Male,50-54 years,All,All
S12000019,2016-2018,26.65,Male,40-44 years,All,All
S12000019,2016-2018,12.23,Male,60-64 years,All,All
S12000038,2016-2018,3.54,Male,75-79 years,All,All
S12000038,2016-2018,16.51,Male,50-54 years,All,All
S12000038,2016-2018,5.38,Male,70-74 years,All,All
S12000038,2016-2018,1.32,Male,85-89 years,All,All
S12000038,2016-2018,50.75,Male,10-14 years,All,All
S12000038,2016-2018,55.54,Male,5-9 years,All,All
S12000038,2016-2018,2.24,Male,80-84 years,All,All
S12000013,2016-2018,51.27,Male,15-19 years,All,All
S12000013,2016-2018,46.64,Male,20-24 years,All,All
S12000013,2016-2018,21.03,Male,50-54 years,All,All
S12000013,2016-2018,29.05,Male,40-44 years,All,All
S12000020,2016-2018,4.52,Male,75-79 years,All,All
S12000013,2016-2018,24.98,Male,45-49 years,All,All
S12000020,2016-2018,1.36,Male,90 years,All,All
S12000050,2016-2018,1.14,Male,90 years,All,All
S12000023,2016-2018,47.17,Male,20-24 years,All,All
S12000038,2016-2018,36.67,Male,25-29 years,All,All
S12000050,2016-2018,1.81,Male,85-89 years,All,All
S12000013,2016-2018,17.43,Male,55-59 years,All,All
S12000023,2016-2018,61.71,Male,5-9 years,All,All
S12000020,2016-2018,48.74,Male,15-19 years,All,All
S12000013,2016-2018,37.51,Male,30-34 years,All,All
S12000013,2016-2018,42.04,Male,25-29 years,All,All
S12000013,2016-2018,33.15,Male,35-39 years,All,All
S12000038,2016-2018,59.39,Male,1-4 years,All,All
S12000048,2016-2018,2.92,Male,90 years,All,All
S12000048,2016-2018,4.28,Male,85-89 years,All,All
S12000020,2016-2018,40.04,Male,25-29 years,All,All
S12000020,2016-2018,44.32,Male,20-24 years,All,All
S12000020,2016-2018,1.92,Male,85-89 years,All,All
S12000019,2016-2018,2.19,Male,85-89 years,All,All
S12000019,2016-2018,1.56,Male,90 years,All,All
S12000020,2016-2018,53.26,Male,10-14 years,All,All
S12000038,2016-2018,7.6,Male,65-69 years,All,All
S12000038,2016-2018,20.16,Male,45-49 years,All,All
S12000048,2016-2018,47.85,Male,20-24 years,All,All
S12000048,2016-2018,24.01,Male,50-54 years,All,All
S12000038,2016-2018,13.19,Male,55-59 years,All,All
S12000050,2016-2018,13.29,Male,55-59 years,All,All
S12000038,2016-2018,10.18,Male,60-64 years,All,All
S12000038,2016-2018,45.95,Male,15-19 years,All,All
S12000038,2016-2018,41.23,Male,20-24 years,All,All
S12000038,2016-2018,28.03,Male,35-39 years,All,All
S12000048,2016-2018,20.39,Male,55-59 years,All,All
S12000048,2016-2018,27.71,Male,45-49 years,All,All
S12000048,2016-2018,31.42,Male,40-44 years,All,All
S12000050,2016-2018,23.41,Male,40-44 years,All,All
S12000023,2016-2018,65.68,Male,1-4 years,All,All
S12000050,2016-2018,10.44,Male,60-64 years,All,All
S12000023,2016-2018,66.68,Male,0 years,All,All
S12000038,2016-2018,23.92,Male,40-44 years,All,All
S12000038,2016-2018,32.32,Male,30-34 years,All,All
S12000050,2016-2018,16.46,Male,50-54 years,All,All
S12000023,2016-2018,42.45,Male,25-29 years,All,All
S12000023,2016-2018,51.98,Male,15-19 years,All,All
S12000050,2016-2018,19.81,Male,45-49 years,All,All
S12000050,2016-2018,4.14,Male,75-79 years,All,All
S12000023,2016-2018,56.74,Male,10-14 years,All,All
S92000003,2016-2018,27.79,Male,40-44 years,All,Remote small towns
S92000003,2016-2018,45,Male,20-24 years,All,Remote small towns
S92000003,2016-2018,54.6,Male,10-14 years,All,Remote small towns
S92000003,2016-2018,59.52,Male,5-9 years,All,Remote small towns
S92000003,2016-2018,36.17,Male,30-34 years,All,Remote small towns
S92000003,2016-2018,19.9,Male,50-54 years,All,Remote small towns
S92000003,2016-2018,31.94,Male,35-39 years,All,Remote small towns
S92000003,2016-2018,49.72,Male,15-19 years,All,Remote small towns
S92000003,2016-2018,63.46,Male,1-4 years,All,Remote small towns
S92000003,2016-2018,64.38,Male,0 years,All,Remote small towns
S92000003,2016-2018,29.58,Male,35-39 years,All,Other urban areas
S92000003,2016-2018,7.21,Male,70-74 years,All,Other urban areas
S92000003,2016-2018,25.72,Male,40-44 years,All,Other urban areas
S92000003,2016-2018,15.29,Male,55-59 years,All,Other urban areas
S92000003,2016-2018,9.57,Male,65-69 years,All,Other urban areas
S92000003,2016-2018,22.07,Male,45-49 years,All,Other urban areas
S92000003,2016-2018,12.26,Male,60-64 years,All,Other urban areas
S92000003,2016-2018,13.14,Male,60-64 years,All,Remote small towns
S92000003,2016-2018,5.2,Male,75-79 years,All,Other urban areas
S92000003,2016-2018,3.83,Male,80-84 years,All,Remote small towns
S92000003,2016-2018,1.67,Male,90 years,All,Remote small towns
S92000003,2016-2018,2.49,Male,85-89 years,All,Remote small towns
S92000003,2016-2018,16.31,Male,55-59 years,All,Remote small towns
S92000003,2016-2018,23.84,Male,45-49 years,All,Remote small towns
S92000003,2016-2018,7.78,Male,70-74 years,All,Remote small towns
S92000003,2016-2018,5.59,Male,75-79 years,All,Remote small towns
S92000003,2016-2018,10.28,Male,65-69 years,All,Remote small towns
S92000003,2016-2018,40.46,Male,25-29 years,All,Remote small towns
S92000003,2016-2018,3.6,Male,80-84 years,All,Other urban areas
S92000003,2016-2018,2.42,Male,85-89 years,All,Other urban areas
S92000003,2016-2018,1.57,Male,90 years,All,Other urban areas
S92000003,2016-2018,18.57,Male,50-54 years,All,Other urban areas
S12000013,2016-2018,10.87,Male,65-69 years,All,All
S12000021,2016-2018,56.6,Male,1-4 years,All,All
S12000050,2016-2018,35.41,Male,25-29 years,All,All
S12000021,2016-2018,57.33,Male,0 years,All,All
S12000013,2016-2018,14.04,Male,60-64 years,All,All
S12000050,2016-2018,48.81,Male,10-14 years,All,All
S12000013,2016-2018,4.28,Male,80-84 years,All,All
S12000050,2016-2018,57.96,Male,0 years,All,All
S12000021,2016-2018,11.93,Male,60-64 years,All,All
S12000050,2016-2018,44.19,Male,15-19 years,All,All
S12000021,2016-2018,6.95,Male,70-74 years,All,All
S12000050,2016-2018,39.78,Male,20-24 years,All,All
S12000021,2016-2018,9.27,Male,65-69 years,All,All
S12000020,2016-2018,62.12,Male,0 years,All,All
S12000020,2016-2018,57.78,Male,5-9 years,All,All
S12000020,2016-2018,35.82,Male,30-34 years,All,All
S12000020,2016-2018,31.52,Male,35-39 years,All,All
S12000020,2016-2018,61.36,Male,1-4 years,All,All
S12000021,2016-2018,1.64,Male,90 years,All,All
S12000020,2016-2018,11.95,Male,60-64 years,All,All
S12000013,2016-2018,2.73,Male,85-89 years,All,All
S12000013,2016-2018,1.91,Male,90 years,All,All
S12000050,2016-2018,53.48,Male,5-9 years,All,All
S12000020,2016-2018,9.17,Male,65-69 years,All,All
S12000020,2016-2018,15.33,Male,55-59 years,All,All
S12000020,2016-2018,6.7,Male,70-74 years,All,All
S12000039,2016-2018,3.51,Male,75-79 years,All,All
S12000039,2016-2018,0.82,Male,90 years,All,All
S12000039,2016-2018,5.09,Male,70-74 years,All,All
S12000039,2016-2018,2.27,Male,80-84 years,All,All
S12000040,2016-2018,62.27,Male,1-4 years,All,All
S12000040,2016-2018,58.5,Male,5-9 years,All,All
S12000040,2016-2018,63.04,Male,0 years,All,All
S12000026,2016-2018,35.42,Male,30-34 years,All,All
S12000038,2016-2018,0.88,Male,90 years,All,All
S12000026,2016-2018,39.79,Male,25-29 years,All,All
S12000039,2016-2018,7.2,Male,65-69 years,All,All
S12000039,2016-2018,1.4,Male,85-89 years,All,All
S12000026,2016-2018,63.5,Male,0 years,All,All
S12000027,2016-2018,57.68,Male,10-14 years,All,All
S12000027,2016-2018,52.74,Male,15-19 years,All,All
S12000027,2016-2018,62.67,Male,5-9 years,All,All
S12000050,2016-2018,57.21,Male,1-4 years,All,All
S12000050,2016-2018,27.23,Male,35-39 years,All,All
S12000050,2016-2018,31.25,Male,30-34 years,All,All
S12000027,2016-2018,67.49,Male,0 years,All,All
S12000026,2016-2018,1.34,Male,85-89 years,All,All
S12000026,2016-2018,2.63,Male,80-84 years,All,All
S12000026,2016-2018,0.86,Male,90 years,All,All
S12000027,2016-2018,66.67,Male,1-4 years,All,All
S12000027,2016-2018,22.19,Male,50-54 years,All,All
S12000021,2016-2018,32.41,Male,30-34 years,All,All
S12000021,2016-2018,28.66,Male,35-39 years,All,All
S12000013,2016-2018,6.31,Male,75-79 years,All,All
S12000013,2016-2018,8.33,Male,70-74 years,All,All
S12000030,2016-2018,30.08,Male,40-44 years,All,All
S12000030,2016-2018,8.45,Male,70-74 years,All,All
S12000030,2016-2018,11.2,Male,65-69 years,All,All
S12000021,2016-2018,25.11,Male,40-44 years,All,All
S12000021,2016-2018,49.04,Male,10-14 years,All,All
S12000029,2016-2018,5.84,Male,70-74 years,All,All
S12000021,2016-2018,36.45,Male,25-29 years,All,All
S12000021,2016-2018,53.28,Male,5-9 years,All,All
S12000021,2016-2018,21.53,Male,45-49 years,All,All
S12000045,2016-2018,46.28,Male,25-29 years,All,All
S12000045,2016-2018,68.79,Male,1-4 years,All,All
S12000045,2016-2018,32.76,Male,40-44 years,All,All
S12000045,2016-2018,37.17,Male,35-39 years,All,All
S12000010,2016-2018,20.65,Male,50-54 years,All,All
S12000010,2016-2018,28.61,Male,40-44 years,All,All
S12000045,2016-2018,65.11,Male,5-9 years,All,All
S12000030,2016-2018,34.06,Male,35-39 years,All,All
S12000021,2016-2018,40.59,Male,20-24 years,All,All
S12000030,2016-2018,21.86,Male,50-54 years,All,All
S12000030,2016-2018,18,Male,55-59 years,All,All
S12000030,2016-2018,14.41,Male,60-64 years,All,All
S12000021,2016-2018,44.84,Male,15-19 years,All,All
S12000030,2016-2018,4,Male,80-84 years,All,All
S12000030,2016-2018,6,Male,75-79 years,All,All
S12000021,2016-2018,3.45,Male,80-84 years,All,All
S12000020,2016-2018,23.07,Male,45-49 years,All,All
S12000030,2016-2018,2.51,Male,85-89 years,All,All
S12000039,2016-2018,58.35,Male,0 years,All,All
S12000039,2016-2018,48.87,Male,10-14 years,All,All
S12000021,2016-2018,4.95,Male,75-79 years,All,All
S12000021,2016-2018,18.15,Male,50-54 years,All,All
S12000021,2016-2018,2.3,Male,85-89 years,All,All
S12000020,2016-2018,27.3,Male,40-44 years,All,All
S12000020,2016-2018,18.99,Male,50-54 years,All,All
S12000021,2016-2018,14.93,Male,55-59 years,All,All
S12000029,2016-2018,14.02,Male,55-59 years,All,All
S12000029,2016-2018,8.2,Male,65-69 years,All,All
S12000029,2016-2018,2.39,Male,80-84 years,All,All
S12000030,2016-2018,1.67,Male,90 years,All,All
S12000029,2016-2018,1.22,Male,85-89 years,All,All
S12000029,2016-2018,3.84,Male,75-79 years,All,All
S12000030,2016-2018,25.86,Male,45-49 years,All,All
S12000039,2016-2018,44.09,Male,15-19 years,All,All
S12000039,2016-2018,53.68,Male,5-9 years,All,All
S12000029,2016-2018,17.26,Male,50-54 years,All,All
S12000029,2016-2018,20.68,Male,45-49 years,All,All
S12000039,2016-2018,57.5,Male,1-4 years,All,All
S92000003,2016-2018,35.47,Male,30-34 years,All,Accessible small towns
S92000003,2016-2018,62.45,Male,0 years,All,Accessible small towns
S92000003,2016-2018,31.26,Male,35-39 years,All,Accessible small towns
S92000003,2016-2018,39.8,Male,25-29 years,All,Accessible small towns
S92000003,2016-2018,61.7,Male,1-4 years,All,Accessible small towns
S92000003,2016-2018,58.07,Male,5-9 years,All,Accessible small towns
S92000003,2016-2018,48.85,Male,15-19 years,All,Accessible small towns
S92000003,2016-2018,27.04,Male,40-44 years,All,Accessible small towns
S92000003,2016-2018,44.26,Male,20-24 years,All,Accessible small towns
S92000003,2016-2018,53.49,Male,10-14 years,All,Accessible small towns
S92000003,2016-2018,12.24,Male,60-64 years,All,Accessible small towns
S92000003,2016-2018,1.85,Male,85-89 years,All,Accessible small towns
S92000003,2016-2018,9.36,Male,65-69 years,All,Accessible small towns
S92000003,2016-2018,6.84,Male,70-74 years,All,Accessible small towns
S92000003,2016-2018,4.69,Male,75-79 years,All,Accessible small towns
S92000003,2016-2018,3,Male,80-84 years,All,Accessible small towns
S92000003,2016-2018,15.53,Male,55-59 years,All,Accessible small towns
S92000003,2016-2018,22.95,Male,45-49 years,All,Accessible small towns
S92000003,2016-2018,1.12,Male,90 years,All,Accessible small towns
S92000003,2016-2018,19.13,Male,50-54 years,All,Accessible small towns
S12000030,2016-2018,59.26,Male,5-9 years,All,All
S12000040,2016-2018,20.21,Male,50-54 years,All,All
S12000040,2016-2018,36.14,Male,30-34 years,All,All
S12000040,2016-2018,27.93,Male,40-44 years,All,All
S12000027,2016-2018,39.13,Male,30-34 years,All,All
S12000027,2016-2018,34.77,Male,35-39 years,All,All
S12000040,2016-2018,32.05,Male,35-39 years,All,All
S12000030,2016-2018,50.89,Male,15-19 years,All,All
S12000040,2016-2018,49.24,Male,15-19 years,All,All
S12000030,2016-2018,38.16,Male,30-34 years,All,All
S12000040,2016-2018,23.99,Male,45-49 years,All,All
S12000040,2016-2018,44.67,Male,20-24 years,All,All
S12000040,2016-2018,53.87,Male,10-14 years,All,All
S12000026,2016-2018,62.74,Male,1-4 years,All,All
S12000026,2016-2018,58.74,Male,5-9 years,All,All
S12000027,2016-2018,48.07,Male,20-24 years,All,All
S12000027,2016-2018,43.67,Male,25-29 years,All,All
S12000026,2016-2018,12.62,Male,60-64 years,All,All
S12000026,2016-2018,9.76,Male,65-69 years,All,All
S12000026,2016-2018,53.86,Male,10-14 years,All,All
S12000026,2016-2018,48.94,Male,15-19 years,All,All
