area_code,date_code,years_to_live,sex,age,simd_quintiles,urban_rural_classification
S12000011,2012-2014,36.44,Male,45-49 years,All,All
S12000035,2015-2017,13.98,Male,70-74 years,All,All
S12000035,1999-2001,9.37,Male,75-79 years,All,All
S12000035,2015-2017,76.36,Male,1-4 years,All,All
S12000034,1998-2000,4.97,Male,85-89 years,All,All
S12000005,2000-2002,4.66,Male,85-89 years,All,All
S12000033,2015-2017,76.06,Male,1-4 years,All,All
S12000034,1998-2000,9.44,Male,75-79 years,All,All
S12000005,2000-2002,8.39,Male,75-79 years,All,All
S12000013,2012-2014,13.73,Male,70-74 years,All,All
S12000035,1998-2000,49.41,Male,25-29 years,All,All
S12000026,1998-2000,56.01,Male,20-24 years,All,All
S12000033,2015-2017,42.77,Male,35-39 years,All,All
S12000035,2015-2017,34.39,Male,45-49 years,All,All
S12000035,1999-2001,45.23,Male,30-34 years,All,All
S12000011,2012-2014,45.85,Male,35-39 years,All,All
S12000035,1999-2001,40.6,Male,35-39 years,All,All
S12000011,2012-2014,27.14,Male,55-59 years,All,All
S12000011,2012-2014,60.17,Male,20-24 years,All,All
S12000039,1998-2000,47.14,Male,25-29 years,All,All
S12000040,1998-2000,8.02,Male,75-79 years,All,All
S12000047,2012-2014,73,Male,5-9 years,All,All
S12000047,2012-2014,5.65,Male,85-89 years,All,All
S12000010,1998-2000,74.01,Male,1-4 years,All,All
S12000008,2000-2002,40.29,Male,35-39 years,All,All
S12000011,2012-2014,50.67,Male,30-34 years,All,All
S12000005,2004-2006,73.02,Male,1-4 years,All,All
S12000035,1999-2001,12.08,Male,70-74 years,All,All
S12000011,2012-2014,31.72,Male,50-54 years,All,All
S12000011,2012-2014,22.7,Male,60-64 years,All,All
S12000047,2012-2014,53.35,Male,25-29 years,All,All
S12000047,2012-2014,58.17,Male,20-24 years,All,All
S12000039,2001-2003,61.68,Male,10-14 years,All,All
S12000039,2001-2003,29.15,Male,45-49 years,All,All
S12000036,2002-2004,15.97,Male,65-69 years,All,All
S12000036,2002-2004,19.53,Male,60-64 years,All,All
S12000039,2001-2003,21.18,Male,55-59 years,All,All
S12000036,2002-2004,3.92,Male,90 years,All,All
S12000039,2001-2003,56.71,Male,15-19 years,All,All
S12000036,2002-2004,9.67,Male,75-79 years,All,All
S12000039,2001-2003,24.97,Male,50-54 years,All,All
S12000039,2001-2003,42.89,Male,30-34 years,All,All
S12000040,2001-2003,3.31,Male,90 years,All,All
S12000027,2001-2003,6.78,Male,80-84 years,All,All
S12000040,2001-2003,8.2,Male,75-79 years,All,All
S12000027,2001-2003,73.29,Male,1-4 years,All,All
S12000040,2001-2003,4.65,Male,85-89 years,All,All
S12000036,2002-2004,51.14,Male,25-29 years,All,All
S12000040,2001-2003,14.01,Male,65-69 years,All,All
S12000036,2002-2004,75.24,Male,0 years,All,All
S12000040,2001-2003,54.12,Male,20-24 years,All,All
S12000040,2001-2003,30.63,Male,45-49 years,All,All
S12000042,2004-2006,22.99,Male,55-59 years,All,All
S12000040,1991-1993,62.22,Male,10-14 years,All,All
S12000042,2004-2006,12.65,Male,70-74 years,All,All
S12000030,1991-1993,53.02,Male,20-24 years,All,All
S12000039,1991-1993,45.78,Male,25-29 years,All,All
S12000042,2004-2006,7.78,Male,80-84 years,All,All
S12000042,2004-2006,16,Male,65-69 years,All,All
S12000040,1991-1993,7.82,Male,75-79 years,All,All
S12000042,2004-2006,4.35,Male,90 years,All,All
S12000008,2004-2006,12.03,Male,70-74 years,All,All
S16000118,2015-2017,6.26,Male,80-84 years,All,All
S16000118,2015-2017,11.55,Male,70-74 years,All,All
S12000042,2004-2006,19.33,Male,60-64 years,All,All
S16000119,2015-2017,34.85,Male,40-44 years,All,All
S16000118,2015-2017,8.68,Male,75-79 years,All,All
S12000045,2004-2006,53.6,Male,25-29 years,All,All
S12000039,1991-1993,27.35,Male,45-49 years,All,All
S12000013,1991-1993,66.4,Male,5-9 years,All,All
S16000118,2015-2017,4.71,Male,85-89 years,All,All
S12000039,1991-1993,12.36,Male,65-69 years,All,All
S12000047,2004-2006,5.24,Male,85-89 years,All,All
S12000047,2004-2006,16.23,Male,65-69 years,All,All
S12000047,2004-2006,3.97,Male,90 years,All,All
S12000029,1991-1993,16.36,Male,60-64 years,All,All
S12000008,2004-2006,73.95,Male,1-4 years,All,All
S12000036,2002-2004,36.88,Male,40-44 years,All,All
S12000039,2001-2003,14.25,Male,65-69 years,All,All
S12000035,2002-2004,3.98,Male,90 years,All,All
S12000039,2001-2003,51.96,Male,20-24 years,All,All
S12000040,2001-2003,10.83,Male,70-74 years,All,All
S12000042,2004-2006,5.73,Male,85-89 years,All,All
S12000027,1991-1993,52.91,Male,20-24 years,All,All
S12000008,2004-2006,5.18,Male,85-89 years,All,All
S12000027,1991-1993,57.79,Male,15-19 years,All,All
S12000040,1991-1993,10,Male,70-74 years,All,All
S12000027,2001-2003,69.29,Male,5-9 years,All,All
S12000029,1991-1993,71.16,Male,1-4 years,All,All
S12000029,1991-1993,67.23,Male,5-9 years,All,All
S12000027,1991-1993,38.81,Male,35-39 years,All,All
S12000008,2004-2006,7.15,Male,80-84 years,All,All
S16000119,2015-2017,9.35,Male,75-79 years,All,All
S12000036,2002-2004,46.37,Male,30-34 years,All,All
S16000119,2015-2017,3.41,Male,90 years,All,All
S12000039,1991-1993,15.52,Male,60-64 years,All,All
S16000119,2015-2017,63.28,Male,10-14 years,All,All
S12000040,2001-2003,39.93,Male,35-39 years,All,All
S12000039,1991-1993,19.26,Male,55-59 years,All,All
S12000027,2001-2003,3.39,Male,90 years,All,All
S12000045,2004-2006,58.23,Male,20-24 years,All,All
S16000118,2015-2017,3.38,Male,90 years,All,All
S12000036,2002-2004,65.78,Male,10-14 years,All,All
S12000036,2002-2004,60.82,Male,15-19 years,All,All
S12000036,2002-2004,55.95,Male,20-24 years,All,All
S12000036,2002-2004,41.58,Male,35-39 years,All,All
S12000039,2001-2003,4.77,Male,85-89 years,All,All
S12000045,2004-2006,48.92,Male,30-34 years,All,All
S12000045,2004-2006,21.39,Male,60-64 years,All,All
S12000045,2004-2006,13.75,Male,70-74 years,All,All
S12000039,2001-2003,10.91,Male,70-74 years,All,All
S12000039,2001-2003,17.37,Male,60-64 years,All,All
S12000040,1991-1993,3.86,Male,85-89 years,All,All
S12000008,2004-2006,15.42,Male,65-69 years,All,All
S12000008,2004-2006,9.27,Male,75-79 years,All,All
S16000119,2015-2017,72.6,Male,0 years,All,All
S12000027,1991-1993,67.79,Male,5-9 years,All,All
S12000027,1991-1993,62.79,Male,10-14 years,All,All
S12000027,1991-1993,72.09,Male,0 years,All,All
S16000119,2015-2017,22.57,Male,55-59 years,All,All
S12000039,1991-1993,23.23,Male,50-54 years,All,All
S12000027,1991-1993,71.79,Male,1-4 years,All,All
S12000019,1991-1993,25.18,Male,50-54 years,All,All
S12000014,1994-1996,6.08,Male,80-84 years,All,All
S12000019,1991-1993,68.04,Male,5-9 years,All,All
S12000019,1991-1993,71.92,Male,1-4 years,All,All
S12000019,1991-1993,39.26,Male,35-39 years,All,All
S12000029,1991-1993,71.63,Male,0 years,All,All
S12000019,1991-1993,58.29,Male,15-19 years,All,All
S16000119,2015-2017,58.37,Male,15-19 years,All,All
S12000014,1994-1996,8.15,Male,75-79 years,All,All
S12000019,1991-1993,20.95,Male,55-59 years,All,All
S12000014,1994-1996,16.82,Male,60-64 years,All,All
S12000014,1994-1996,20.83,Male,55-59 years,All,All
S12000014,1994-1996,13.27,Male,65-69 years,All,All
S12000014,1994-1996,34.26,Male,40-44 years,All,All
S12000018,2004-2006,67.88,Male,5-9 years,All,All
S12000013,1991-1993,6.66,Male,80-84 years,All,All
S12000014,1994-1996,57.96,Male,15-19 years,All,All
S12000013,1991-1993,4.72,Male,85-89 years,All,All
S12000020,1991-1993,72.87,Male,0 years,All,All
S12000014,1994-1996,29.62,Male,45-49 years,All,All
S16000119,2015-2017,30.54,Male,45-49 years,All,All
S12000030,1991-1993,43.6,Male,30-34 years,All,All
S12000027,1991-1993,43.65,Male,30-34 years,All,All
S16000119,2015-2017,15.1,Male,65-69 years,All,All
S16000119,2015-2017,72.15,Male,1-4 years,All,All
S16000119,2015-2017,18.7,Male,60-64 years,All,All
S16000119,2015-2017,6.85,Male,80-84 years,All,All
S16000119,2015-2017,68.19,Male,5-9 years,All,All
S16000119,2015-2017,39.27,Male,35-39 years,All,All
S16000119,2015-2017,5.07,Male,85-89 years,All,All
S16000132,2015-2017,40.12,Male,40-44 years,All,All
S12000038,1991-1993,23.68,Male,50-54 years,All,All
S16000133,2015-2017,65.05,Male,10-14 years,All,All
S16000141,2015-2017,37.08,Male,40-44 years,All,All
S16000140,2015-2017,10.47,Male,75-79 years,All,All
S12000039,1991-1993,31.81,Male,40-44 years,All,All
S16000130,2015-2017,4.47,Male,90 years,All,All
S16000133,2015-2017,20.32,Male,60-64 years,All,All
S16000133,2015-2017,4.19,Male,90 years,All,All
S16000132,2015-2017,11.23,Male,75-79 years,All,All
S12000048,1991-1993,58.53,Male,15-19 years,All,All
S12000042,2004-2006,9.93,Male,75-79 years,All,All
S12000048,1991-1993,13.96,Male,65-69 years,All,All
S12000026,1991-1993,59,Male,15-19 years,All,All
S12000026,1991-1993,54.21,Male,20-24 years,All,All
S12000048,1991-1993,72.2,Male,1-4 years,All,All
S12000048,2004-2006,43.13,Male,35-39 years,All,All
S16000127,2015-2017,7.62,Male,80-84 years,All,All
S12000048,1991-1993,39.49,Male,35-39 years,All,All
S12000048,2004-2006,47.76,Male,30-34 years,All,All
S12000040,1991-1993,43.15,Male,30-34 years,All,All
S12000040,1991-1993,28.88,Male,45-49 years,All,All
S12000040,1991-1993,52.59,Male,20-24 years,All,All
S12000040,1991-1993,24.43,Male,50-54 years,All,All
S12000040,1991-1993,67.16,Male,5-9 years,All,All
S12000019,1991-1993,29.83,Male,45-49 years,All,All
S12000014,1994-1996,43.79,Male,30-34 years,All,All
S12000019,1991-1993,34.5,Male,40-44 years,All,All
S12000029,1991-1993,7.67,Male,75-79 years,All,All
S12000040,1991-1993,57.34,Male,15-19 years,All,All
S16000133,2015-2017,10.43,Male,75-79 years,All,All
S12000048,2004-2006,52.3,Male,25-29 years,All,All
S16000133,2015-2017,7.63,Male,80-84 years,All,All
S12000023,2004-2006,6.84,Male,80-84 years,All,All
S12000048,1991-1993,44.18,Male,30-34 years,All,All
S12000040,1991-1993,33.59,Male,40-44 years,All,All
S12000040,1991-1993,38.32,Male,35-39 years,All,All
S12000040,1991-1993,20.19,Male,55-59 years,All,All
S12000040,1991-1993,47.89,Male,25-29 years,All,All
S12000047,2004-2006,24.12,Male,55-59 years,All,All
S12000047,2012-2014,17.62,Male,65-69 years,All,All
S12000017,2012-2014,78.22,Male,0 years,All,All
S12000010,2015-2017,44.73,Male,35-39 years,All,All
S12000047,2012-2014,7.86,Male,80-84 years,All,All
S12000047,2012-2014,76.98,Male,1-4 years,All,All
S12000039,1998-2000,51.76,Male,20-24 years,All,All
S12000039,1998-2000,42.44,Male,30-34 years,All,All
S12000049,2012-2014,53.99,Male,20-24 years,All,All
S12000006,2015-2017,22.05,Male,60-64 years,All,All
S12000047,2012-2014,10.77,Male,75-79 years,All,All
S12000047,2012-2014,13.98,Male,70-74 years,All,All
S12000049,2012-2014,49.11,Male,25-29 years,All,All
S12000047,2012-2014,30.25,Male,50-54 years,All,All
S12000047,2012-2014,34.82,Male,45-49 years,All,All
S12000033,1999-2001,49.67,Male,25-29 years,All,All
S12000047,2012-2014,44.03,Male,35-39 years,All,All
S12000047,2012-2014,25.84,Male,55-59 years,All,All
S12000041,1999-2001,4.61,Male,90 years,All,All
S12000047,2012-2014,39.4,Male,40-44 years,All,All
S12000011,2012-2014,55.31,Male,25-29 years,All,All
S12000033,2015-2017,7.79,Male,80-84 years,All,All
S12000033,2015-2017,10.6,Male,75-79 years,All,All
S12000030,1998-2000,36.59,Male,40-44 years,All,All
S12000039,1998-2000,33.2,Male,40-44 years,All,All
S12000039,1998-2000,28.77,Male,45-49 years,All,All
S12000030,1998-2000,27.59,Male,50-54 years,All,All
S12000047,2012-2014,77.58,Male,0 years,All,All
S12000030,1998-2000,18.93,Male,60-64 years,All,All
S12000034,1998-2000,32.83,Male,45-49 years,All,All
S12000033,2015-2017,5.46,Male,85-89 years,All,All
S12000040,1998-2000,5.93,Male,80-84 years,All,All
S12000040,1998-2000,72.39,Male,0 years,All,All
S12000040,1998-2000,17.09,Male,60-64 years,All,All
S12000047,2012-2014,21.57,Male,60-64 years,All,All
S12000047,2012-2014,4.06,Male,90 years,All,All
S12000033,2015-2017,29.52,Male,50-54 years,All,All
S12000040,1998-2000,71.88,Male,1-4 years,All,All
S12000033,2015-2017,72.08,Male,5-9 years,All,All
S12000040,1998-2000,13.57,Male,65-69 years,All,All
S12000033,2015-2017,47.57,Male,30-34 years,All,All
S12000005,2015-2017,76.31,Male,1-4 years,All,All
S12000041,1998-2000,41.44,Male,35-39 years,All,All
S12000030,1997-1999,8.69,Male,75-79 years,All,All
S12000033,1998-2000,54.41,Male,20-24 years,All,All
S12000041,2015-2017,58.56,Male,20-24 years,All,All
S12000030,1997-1999,27.26,Male,50-54 years,All,All
S12000041,2015-2017,3.82,Male,90 years,All,All
S12000030,1997-1999,18.68,Male,60-64 years,All,All
S12000041,1998-2000,70.14,Male,5-9 years,All,All
S12000005,2015-2017,67.31,Male,10-14 years,All,All
S12000035,2015-2017,62.59,Male,15-19 years,All,All
S12000035,2015-2017,77.36,Male,0 years,All,All
S12000030,1998-2000,8.9,Male,75-79 years,All,All
S12000035,2015-2017,67.49,Male,10-14 years,All,All
S12000035,2015-2017,72.49,Male,5-9 years,All,All
S12000041,2015-2017,63.47,Male,15-19 years,All,All
S12000034,1998-2000,15.61,Male,65-69 years,All,All
S12000033,1998-2000,69.2,Male,5-9 years,All,All
S12000035,2015-2017,7.88,Male,80-84 years,All,All
S12000035,2015-2017,38.88,Male,40-44 years,All,All
S12000042,2015-2017,13.28,Male,70-74 years,All,All
S12000034,1998-2000,37.51,Male,40-44 years,All,All
S12000042,2015-2017,10.27,Male,75-79 years,All,All
S12000034,1998-2000,19.63,Male,60-64 years,All,All
S12000041,1998-2000,74.14,Male,1-4 years,All,All
S12000041,2015-2017,39.8,Male,40-44 years,All,All
S12000042,2015-2017,5.36,Male,85-89 years,All,All
S12000041,1999-2001,6.97,Male,80-84 years,All,All
S12000008,2015-2017,47.39,Male,30-34 years,All,All
S12000006,2015-2017,3.73,Male,90 years,All,All
S12000042,2015-2017,32.42,Male,45-49 years,All,All
S12000041,2015-2017,78.16,Male,0 years,All,All
S12000042,2015-2017,7.6,Male,80-84 years,All,All
S12000030,1997-1999,22.83,Male,55-59 years,All,All
S12000042,2015-2017,20.25,Male,60-64 years,All,All
S12000030,1997-1999,6.5,Male,80-84 years,All,All
S12000035,1998-2000,73.09,Male,0 years,All,All
S12000042,2015-2017,36.48,Male,40-44 years,All,All
S12000041,2015-2017,26.22,Male,55-59 years,All,All
S12000041,1998-2000,65.21,Male,10-14 years,All,All
S12000027,2001-2003,59.29,Male,15-19 years,All,All
S12000027,2001-2003,64.29,Male,10-14 years,All,All
S12000027,2001-2003,36.9,Male,40-44 years,All,All
S12000027,2001-2003,32.18,Male,45-49 years,All,All
S12000039,2001-2003,8.63,Male,75-79 years,All,All
S12000027,2001-2003,15.62,Male,65-69 years,All,All
S12000027,2001-2003,50.38,Male,25-29 years,All,All
S12000039,2001-2003,6.45,Male,80-84 years,All,All
S12000027,2001-2003,45.74,Male,30-34 years,All,All
S12000027,2001-2003,12.02,Male,70-74 years,All,All
S12000041,1998-2000,11.83,Male,70-74 years,All,All
S12000006,2015-2017,77.85,Male,0 years,All,All
S12000006,2015-2017,53.75,Male,25-29 years,All,All
S12000045,2015-2017,11.94,Male,75-79 years,All,All
S12000010,2015-2017,58.86,Male,20-24 years,All,All
S12000042,2015-2017,54.67,Male,20-24 years,All,All
S12000035,1998-2000,30.85,Male,45-49 years,All,All
S12000036,2002-2004,12.54,Male,70-74 years,All,All
S12000042,2015-2017,49.82,Male,25-29 years,All,All
S12000035,1998-2000,35.46,Male,40-44 years,All,All
S12000026,1991-1993,63.93,Male,10-14 years,All,All
S12000040,1991-1993,71.35,Male,0 years,All,All
S12000040,1991-1993,13.01,Male,65-69 years,All,All
S12000030,2001-2003,74.83,Male,1-4 years,All,All
S12000036,2002-2004,70.75,Male,5-9 years,All,All
S12000042,2004-2006,59.14,Male,15-19 years,All,All
S12000040,1991-1993,2.94,Male,90 years,All,All
S12000027,1991-1993,48.33,Male,25-29 years,All,All
S12000040,1991-1993,5.81,Male,80-84 years,All,All
S12000029,1991-1993,5.75,Male,80-84 years,All,All
S12000027,2001-2003,4.74,Male,85-89 years,All,All
S12000027,2001-2003,41.31,Male,35-39 years,All,All
S12000028,2001-2003,59.74,Male,15-19 years,All,All
S12000027,2001-2003,27.91,Male,50-54 years,All,All
S12000039,2001-2003,70.78,Male,0 years,All,All
S12000028,2001-2003,69.54,Male,5-9 years,All,All
S12000027,2001-2003,19.45,Male,60-64 years,All,All
S12000029,2001-2003,22.45,Male,55-59 years,All,All
S12000040,2001-2003,35.27,Male,40-44 years,All,All
S12000028,2001-2003,50.33,Male,25-29 years,All,All
S12000035,1998-2000,63.8,Male,10-14 years,All,All
S12000006,2015-2017,77.17,Male,1-4 years,All,All
S12000036,2015-2017,5.83,Male,85-89 years,All,All
S12000006,2015-2017,73.24,Male,5-9 years,All,All
S12000041,1998-2000,18.9,Male,60-64 years,All,All
S12000035,1998-2000,68.76,Male,5-9 years,All,All
S12000041,1998-2000,15.26,Male,65-69 years,All,All
S12000006,2015-2017,10.91,Male,75-79 years,All,All
S12000041,1998-2000,7.02,Male,80-84 years,All,All
S12000041,1998-2000,9.09,Male,75-79 years,All,All
S12000033,2015-2017,25.26,Male,55-59 years,All,All
S12000033,2015-2017,67.16,Male,10-14 years,All,All
S12000036,2015-2017,4.09,Male,90 years,All,All
S12000033,2015-2017,21.13,Male,60-64 years,All,All
S12000033,2015-2017,76.9,Male,0 years,All,All
S12000006,2015-2017,26.21,Male,55-59 years,All,All
S12000005,2015-2017,21.26,Male,60-64 years,All,All
S12000006,2015-2017,58.51,Male,20-24 years,All,All
S12000006,2015-2017,68.3,Male,10-14 years,All,All
S12000006,2015-2017,63.36,Male,15-19 years,All,All
S12000006,2015-2017,39.84,Male,40-44 years,All,All
S12000006,2015-2017,35.2,Male,45-49 years,All,All
S12000010,2015-2017,49.3,Male,30-34 years,All,All
S12000036,2015-2017,63.55,Male,15-19 years,All,All
S12000006,2015-2017,44.31,Male,35-39 years,All,All
S12000045,2015-2017,15.29,Male,70-74 years,All,All
S12000006,2015-2017,30.67,Male,50-54 years,All,All
S12000010,2015-2017,63.76,Male,15-19 years,All,All
S12000039,1998-2000,2.88,Male,90 years,All,All
S12000041,1998-2000,36.68,Male,40-44 years,All,All
S12000042,2015-2017,73.94,Male,0 years,All,All
S12000036,2015-2017,58.64,Male,20-24 years,All,All
S12000036,2015-2017,68.48,Male,10-14 years,All,All
S12000040,1997-1999,43.59,Male,30-34 years,All,All
S12000006,2015-2017,17.98,Male,65-69 years,All,All
S12000041,1998-2000,4.6,Male,90 years,All,All
S12000036,2015-2017,73.45,Male,5-9 years,All,All
S12000041,1998-2000,5.2,Male,85-89 years,All,All
S12000036,2015-2017,53.75,Male,25-29 years,All,All
S12000042,2015-2017,69.58,Male,5-9 years,All,All
S12000049,2005-2007,66.16,Male,5-9 years,All,All
S12000050,2000-2002,8.42,Male,75-79 years,All,All
S12000049,2004-2006,70.38,Male,0 years,All,All
S12000034,2005-2007,39.48,Male,40-44 years,All,All
S12000008,2005-2007,7.04,Male,80-84 years,All,All
S12000023,2000-2002,32.09,Male,45-49 years,All,All
S12000042,1997-1999,25.34,Male,50-54 years,All,All
S12000042,1997-1999,17.32,Male,60-64 years,All,All
S12000010,1997-1999,11.52,Male,70-74 years,All,All
S12000008,1997-1999,48.63,Male,25-29 years,All,All
S12000008,1997-1999,34.62,Male,40-44 years,All,All
S12000040,1997-1999,71.66,Male,1-4 years,All,All
S12000010,1997-1999,3.54,Male,90 years,All,All
S12000008,2005-2007,15.39,Male,65-69 years,All,All
S12000050,2000-2002,38.96,Male,35-39 years,All,All
S12000023,2000-2002,23.63,Male,55-59 years,All,All
S12000048,2000-2002,71.27,Male,5-9 years,All,All
S12000049,2004-2006,11.11,Male,70-74 years,All,All
S12000023,2000-2002,74.33,Male,1-4 years,All,All
S12000050,2000-2002,4.01,Male,90 years,All,All
S12000038,2000-2002,6.54,Male,80-84 years,All,All
S12000034,2005-2007,76.68,Male,1-4 years,All,All
S12000049,2004-2006,65.84,Male,5-9 years,All,All
S12000049,2004-2006,3.92,Male,90 years,All,All
S12000023,2000-2002,75.33,Male,0 years,All,All
S12000033,2003-2005,46.15,Male,30-34 years,All,All
S12000005,2001-2003,35.9,Male,40-44 years,All,All
S12000040,2002-2004,3.49,Male,90 years,All,All
S12000033,2003-2005,60.46,Male,15-19 years,All,All
S12000006,2001-2003,70.5,Male,5-9 years,All,All
S12000040,2002-2004,6.33,Male,80-84 years,All,All
S12000033,2003-2005,74.91,Male,0 years,All,All
S16000138,2015-2017,65.72,Male,15-19 years,All,All
S12000034,2003-2005,20.78,Male,60-64 years,All,All
S12000005,2001-2003,8.67,Male,75-79 years,All,All
S12000034,2003-2005,29.47,Male,50-54 years,All,All
S12000034,2003-2005,5.47,Male,85-89 years,All,All
S12000034,2003-2005,13.23,Male,70-74 years,All,All
S12000040,2002-2004,11.27,Male,70-74 years,All,All
S12000040,2002-2004,74.28,Male,0 years,All,All
S12000034,2003-2005,34.06,Male,45-49 years,All,All
S12000033,2003-2005,65.43,Male,10-14 years,All,All
S12000033,2003-2005,70.4,Male,5-9 years,All,All
S12000005,2001-2003,6.3,Male,80-84 years,All,All
S12000034,2003-2005,76.7,Male,0 years,All,All
S16000137,2015-2017,15.34,Male,70-74 years,All,All
S12000019,2004-2006,33.02,Male,45-49 years,All,All
S16000143,2015-2017,54.25,Male,25-29 years,All,All
S16000127,2015-2017,33.09,Male,45-49 years,All,All
S16000143,2015-2017,63.41,Male,15-19 years,All,All
S16000137,2015-2017,8.94,Male,80-84 years,All,All
S16000137,2015-2017,27.42,Male,55-59 years,All,All
S16000132,2015-2017,49.71,Male,30-34 years,All,All
S12000019,2004-2006,12.42,Male,70-74 years,All,All
S16000143,2015-2017,73.41,Male,5-9 years,All,All
S16000127,2015-2017,70.85,Male,5-9 years,All,All
S16000132,2015-2017,68.99,Male,10-14 years,All,All
S16000138,2015-2017,60.85,Male,20-24 years,All,All
S16000137,2015-2017,11.94,Male,75-79 years,All,All
S16000132,2015-2017,73.94,Male,5-9 years,All,All
S16000132,2015-2017,21.98,Male,60-64 years,All,All
S16000127,2015-2017,10.36,Male,75-79 years,All,All
S16000132,2015-2017,26.26,Male,55-59 years,All,All
S16000127,2015-2017,20.62,Male,60-64 years,All,All
S16000132,2015-2017,77.94,Male,1-4 years,All,All
S12000005,2001-2003,59.15,Male,15-19 years,All,All
S12000005,2001-2003,45.43,Male,30-34 years,All,All
S12000030,2002-2004,19.66,Male,60-64 years,All,All
S12000036,1997-1999,40.23,Male,35-39 years,All,All
S12000036,1997-1999,30.92,Male,45-49 years,All,All
S12000005,2001-2003,18.66,Male,60-64 years,All,All
S12000005,2001-2003,22.6,Male,55-59 years,All,All
S12000036,2003-2005,23.66,Male,55-59 years,All,All
S12000005,2001-2003,64.03,Male,10-14 years,All,All
S12000010,1997-1999,64.54,Male,10-14 years,All,All
S12000040,1997-1999,72.08,Male,0 years,All,All
S12000010,1997-1999,69.54,Male,5-9 years,All,All
S12000008,1997-1999,53.22,Male,20-24 years,All,All
S12000042,1997-1999,29.56,Male,45-49 years,All,All
S12000010,1997-1999,45.28,Male,30-34 years,All,All
S12000008,1997-1999,25.49,Male,50-54 years,All,All
S12000039,1997-1999,46.55,Male,25-29 years,All,All
S12000005,2001-2003,4.32,Male,85-89 years,All,All
S12000005,2001-2003,3.25,Male,90 years,All,All
S12000036,2003-2005,41.55,Male,35-39 years,All,All
S16000128,2015-2017,6.07,Male,85-89 years,All,All
S12000006,2001-2003,74.37,Male,1-4 years,All,All
S12000008,2001-2003,8.59,Male,75-79 years,All,All
S12000040,2002-2004,8.42,Male,75-79 years,All,All
S12000033,2003-2005,50.93,Male,25-29 years,All,All
S12000005,2001-2003,15.04,Male,65-69 years,All,All
S12000040,2002-2004,73.48,Male,1-4 years,All,All
S12000005,2001-2003,26.9,Male,50-54 years,All,All
S12000005,2001-2003,54.27,Male,20-24 years,All,All
S12000005,2001-2003,11.62,Male,70-74 years,All,All
S12000005,2001-2003,31.57,Male,45-49 years,All,All
S12000006,2001-2003,9.68,Male,75-79 years,All,All
S16000138,2015-2017,80.32,Male,0 years,All,All
S12000005,2001-2003,40.6,Male,35-39 years,All,All
S16000128,2015-2017,4.33,Male,90 years,All,All
S12000036,2003-2005,16.04,Male,65-69 years,All,All
S12000036,2003-2005,46.34,Male,30-34 years,All,All
S12000041,2005-2007,10.08,Male,75-79 years,All,All
S12000034,2005-2007,67.79,Male,10-14 years,All,All
S12000023,2000-2002,46.36,Male,30-34 years,All,All
S12000017,2005-2007,66.19,Male,10-14 years,All,All
S12000008,2000-2002,31.09,Male,45-49 years,All,All
S12000008,2012-2014,66.33,Male,10-14 years,All,All
S12000011,1997-1999,71.51,Male,5-9 years,All,All
S12000010,1997-1999,6.29,Male,80-84 years,All,All
S12000035,2005-2007,4.02,Male,90 years,All,All
S12000018,1997-1999,50.48,Male,20-24 years,All,All
S12000035,1997-1999,5.04,Male,85-89 years,All,All
S12000018,1997-1999,36.73,Male,35-39 years,All,All
S12000010,2012-2014,77.57,Male,1-4 years,All,All
S12000006,1997-1999,31.84,Male,45-49 years,All,All
S12000017,1997-1999,11.38,Male,70-74 years,All,All
S12000008,2012-2014,56.72,Male,20-24 years,All,All
S12000006,1997-1999,23.09,Male,55-59 years,All,All
S12000011,1997-1999,66.55,Male,10-14 years,All,All
S12000010,1997-1999,49.95,Male,25-29 years,All,All
S12000010,1997-1999,26.85,Male,50-54 years,All,All
S12000010,1997-1999,59.61,Male,15-19 years,All,All
S12000006,1997-1999,9.04,Male,75-79 years,All,All
S12000042,2012-2014,8,Male,80-84 years,All,All
S12000010,1997-1999,31.35,Male,45-49 years,All,All
S12000042,1997-1999,38.62,Male,35-39 years,All,All
S12000005,1997-1999,72.76,Male,0 years,All,All
S12000041,2012-2014,73.85,Male,5-9 years,All,All
S12000008,2000-2002,26.58,Male,50-54 years,All,All
S12000008,2000-2002,72.42,Male,1-4 years,All,All
S12000023,2000-2002,36.77,Male,40-44 years,All,All
S12000035,2005-2007,71.48,Male,5-9 years,All,All
S12000008,2000-2002,68.63,Male,5-9 years,All,All
S12000008,2000-2002,54.08,Male,20-24 years,All,All
S12000017,2005-2007,75.11,Male,1-4 years,All,All
S12000008,2005-2007,59.97,Male,15-19 years,All,All
S12000008,2005-2007,19.26,Male,60-64 years,All,All
S12000050,2000-2002,34.3,Male,40-44 years,All,All
S12000023,2000-2002,19.69,Male,60-64 years,All,All
S12000041,2012-2014,5.7,Male,85-89 years,All,All
S12000041,2012-2014,4.04,Male,90 years,All,All
S12000014,2005-2007,12.45,Male,70-74 years,All,All
S12000006,1997-1999,27.33,Male,50-54 years,All,All
S12000041,2012-2014,77.81,Male,1-4 years,All,All
S12000034,2005-2007,44.22,Male,35-39 years,All,All
S12000034,2005-2007,48.85,Male,30-34 years,All,All
S12000050,2000-2002,25.45,Male,50-54 years,All,All
S12000047,2004-2006,56.39,Male,20-24 years,All,All
S12000050,2000-2002,6.59,Male,80-84 years,All,All
