area_code,date_code,years_to_live,sex,age,simd_quintiles,urban_rural_classification
S92000003,2015-2017,24.6,Male,55-59 years,All,Large urban areas
S92000003,2015-2017,56.42,Male,20-24 years,All,Large urban areas
S92000003,2015-2017,3.97,Male,90 years,All,Large urban areas
S92000003,2015-2017,13.41,Male,70-74 years,All,Large urban areas
S92000003,2015-2017,75.21,Male,1-4 years,All,Large urban areas
S92000003,2015-2017,10.35,Male,75-79 years,All,Large urban areas
S92000003,2015-2017,20.58,Male,60-64 years,All,Large urban areas
S92000003,2015-2017,7.77,Male,80-84 years,All,Large urban areas
S92000003,2015-2017,28.77,Male,50-54 years,All,Large urban areas
S92000003,2015-2017,66.29,Male,10-14 years,All,Large urban areas
S92000003,2015-2017,33.03,Male,45-49 years,All,Large urban areas
S92000003,2015-2017,75.89,Male,0 years,All,Large urban areas
S92000003,2015-2017,71.25,Male,5-9 years,All,Large urban areas
S92000003,2016-2018,20.73,Male,60-64 years,All,Large urban areas
S92000003,2016-2018,5.69,Male,85-89 years,All,Large urban areas
S92000003,2016-2018,16.97,Male,65-69 years,All,Large urban areas
S92000003,2016-2018,7.83,Male,80-84 years,All,Large urban areas
S92000003,2016-2018,13.52,Male,70-74 years,All,Large urban areas
S92000003,2014-2016,28.76,Male,50-54 years,All,Large urban areas
S92000003,2014-2016,46.77,Male,30-34 years,All,Large urban areas
S92000003,2014-2016,33.03,Male,45-49 years,All,Large urban areas
S92000003,2016-2018,4.05,Male,90 years,All,Large urban areas
S92000003,2016-2018,56.45,Male,20-24 years,All,Large urban areas
S92000003,2016-2018,10.38,Male,75-79 years,All,Large urban areas
S92000003,2016-2018,61.33,Male,15-19 years,All,Large urban areas
S92000003,2016-2018,37.47,Male,40-44 years,All,Large urban areas
S92000003,2016-2018,24.74,Male,55-59 years,All,Large urban areas
S92000003,2016-2018,28.91,Male,50-54 years,All,Large urban areas
S92000003,2016-2018,71.82,Male,5-9 years,All,Other urban areas
S92000003,2016-2018,66.85,Male,10-14 years,All,Other urban areas
S92000003,2016-2018,33.89,Male,45-49 years,All,Other urban areas
